solver,seed,max_spawn,seed_failed,fail_reason,enforce_ir,platoon_bonus,comm_delay,p_loss,async_frac,drag_reduce_pct,cd_rate_window,drag_force_window,ttc_p5,abs_acc_mean,abs_acc_rms,n_window_samples,clearing_time,merged,n_steps,avg_speed,min_speed,solve_time,total_utility,ir_violation_rate,platoon_len_avg,platoon_len_max,conv_iters,conv_fail_rate,success_rate,n_success,n_trials,config,spawn
no_platooning,1,4,0,,True,0.5,0,0.0,1.0,0.7956922432020841,0.9920430775679792,180.69917401958685,10.0,0.049339286438300906,0.09198666800348819,74,12.8,4.0,230,19.858282857177933,19.326043427492678,2.494347862248896e-06,7.6673042984012705,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,4
no_platooning,2,4,0,,True,0.5,0,0.0,1.0,4.579237093272448,0.9542076290672755,176.9632599335846,10.0,0.049209428300487856,0.10637475013633965,65,11.4,4.0,213,20.221679690109198,19.75780367100965,2.50140840254348e-06,7.674185163322668,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,4
no_platooning,3,4,0,,True,0.5,0,0.0,1.0,2.697955599527324,0.9730204440047268,173.25187040733732,10.0,0.10327868637226456,0.18212886401697875,59,12.600000000000001,4.0,227,19.309313101315155,18.879248431120384,2.5418502073360625e-06,7.649510354844468,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,4
no_platooning,4,4,0,,True,0.5,0,0.0,1.0,1.8927255230422046,0.981072744769578,179.11871015141443,10.0,0.08742322712459673,0.14598000762466026,66,11.9,4.0,220,19.9034268184794,19.177130273275942,2.4500000274036375e-06,7.667547236417245,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,4
no_platooning,5,4,0,,True,0.5,0,0.0,1.0,1.2038407297671028,0.987961592702329,177.89184202154698,10.0,0.034572452396858265,0.09251767765780007,69,11.9,4.0,220,19.773809528890588,19.346041588875305,2.453181878081523e-06,7.671564003797751,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,4
no_platooning,6,4,0,,True,0.5,0,0.0,1.0,1.6815765396470006,0.98318423460353,178.82690575264422,10.0,0.03595121550892455,0.12294583712319428,65,11.700000000000001,4.0,218,20.031866591432284,19.799474357504486,2.4651375697597802e-06,7.675146695061422,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,4
no_platooning,7,4,0,,True,0.5,0,0.0,1.0,2.576230741923591,0.9742376925807641,174.51305311158066,10.0,0.06953861469372093,0.14196639084728482,57,11.8,4.0,219,19.556927453012637,19.17104824721265,2.47351593702349e-06,7.6606036807172035,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,4
no_platooning,8,4,0,,True,0.5,0,0.0,1.0,3.9752066503673134,0.9602479334963269,173.5469349755119,10.0,0.06027139349808027,0.1217910932535153,72,12.8,4.0,229,19.8504307342181,19.57073775199765,2.4213974053237394e-06,7.670732503196078,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,4
no_platooning,9,4,0,,True,0.5,0,0.0,1.0,4.3722163393835505,0.9562778366061645,173.25315240409913,10.0,0.06763533605381856,0.12701791355168476,67,11.700000000000001,4.0,219,19.78579676699726,19.350250418184842,2.4319634912774757e-06,7.671117671064497,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,4
no_platooning,10,4,0,,True,0.5,0,0.0,1.0,3.8244632845396587,0.9617553671546034,175.67530776542125,10.0,0.04339234528805997,0.08868916864024426,70,11.600000000000001,4.0,218,19.84654956986067,19.446318029733852,2.3990825716157256e-06,7.671361485526026,0.0,1.0,1.0,nan,nan,1.0,30,30,C0_no_platoon,4
