seed,max_spawn,seed_failed,fail_reason,solve_time_auc,solve_time_total,solve_time_pulp,total_util_auc,total_util_pulp,percav_util_auc,percav_util_pulp,correct_rate,n_solves,spawn,success_rate,n_success,n_trials
1,52,0,,1.2339770164648802e-05,0.014170860611546711,0.022768642447633314,156.57585457832388,156.57595618741553,7.818052106264527,7.818056390468717,0.9866156787762906,523,52,1.0,30,30
2,52,0,,1.1990058494978684e-05,0.014466903898071863,0.022656920077986097,158.25147690153582,158.25148157131554,7.802613144210558,7.802613436071791,0.9980506822612085,513,52,1.0,30,30
3,52,0,,1.196868013138092e-05,0.013850414716772612,0.022388679244888306,154.34859796681542,154.34866838186258,7.845777118531524,7.845779726496235,0.9962264150943396,530,52,1.0,30,30
4,52,0,,1.1884658050838713e-05,0.014181552679993879,0.022924214417829054,153.46078073847167,153.46091806328883,7.834103570493125,7.8341127584530765,0.9907578558225508,541,52,1.0,30,30
5,52,0,,1.2647809233472107e-05,0.014280040952338216,0.02273714285715306,157.10415050604934,157.10415050604934,7.854451602603714,7.854451602603714,1.0,525,52,1.0,30,30
6,52,0,,1.1655722511495424e-05,0.013907957973910319,0.022759849905906994,152.71538271525338,152.71556905796723,7.79890822185789,7.798919183194001,0.9962476547842402,533,52,1.0,30,30
7,52,0,,1.2258015601239913e-05,0.014228225954005606,0.022486641221254964,152.50876708953967,152.50877489872383,7.836398723031998,7.836398974941163,0.9980916030534351,524,52,1.0,30,30
8,52,0,,1.2564540098728804e-05,0.013971893808307122,0.022148217635954804,153.81793257149593,153.8181109170064,7.810115682560814,7.810122816381231,0.9962476547842402,533,52,1.0,30,30
9,52,0,,1.2605323510672968e-05,0.014276650760168106,0.022931558935371396,154.79484142277968,154.7952731649136,7.817649717137191,7.81768268045668,0.9790874524714829,526,52,1.0,30,30
10,52,0,,1.2044167956542117e-05,0.014504372084075469,0.023137667303978125,155.41330685980753,155.4133773769631,7.820889188629606,7.82089310624936,0.9980879541108987,523,52,1.0,30,30
11,52,0,,1.1632075744136325e-05,0.013997327924825751,0.022252830188558875,154.68818361615382,154.68818361615382,7.800001778152645,7.800001778152645,1.0,530,52,1.0,30,30
12,52,0,,1.1486857408835064e-05,0.014136809523832719,0.022337142857113145,155.4318875031311,155.4318875031311,7.838044646487904,7.838044646487904,1.0,525,52,1.0,30,30
13,52,0,,1.1940225232322526e-05,0.014147505075275799,0.022800751879625943,153.08746015194723,153.08746015194723,7.78750587833986,7.78750587833986,1.0,532,52,1.0,30,30
14,52,0,,1.1739056592561164e-05,0.014283360188381026,0.023279245282942868,155.42755584984621,155.42781353027377,7.829279957604775,7.829289160477186,0.9943396226415094,530,52,1.0,30,30
15,52,0,,1.1895506132406284e-05,0.013891705243653367,0.022807116104984895,154.47405011611696,154.47405011611696,7.860504153327959,7.860504153327959,1.0,534,52,1.0,30,30
16,52,0,,1.2309653255243473e-05,0.014568676061877256,0.02327027027024937,157.20260188688744,157.2026405877219,7.8470687341761804,7.847070669217904,0.9980694980694981,518,52,1.0,30,30
17,52,0,,1.287533996572483e-05,0.014560788155372878,0.023491262135777433,157.1918313434674,157.1918313434674,7.862172730998119,7.862172730998119,1.0,515,52,1.0,30,30
18,52,0,,1.1764832590258367e-05,0.014573219056694753,0.023172888015456358,159.26614903357034,159.26614903357034,7.848281738250506,7.848281738250506,1.0,509,52,1.0,30,30
19,52,0,,1.156772956458282e-05,0.013955671857461712,0.02231519699817887,152.597931493778,152.59803412110713,7.841479187778812,7.84149629233367,0.99812382739212,533,52,1.0,30,30
20,52,0,,1.1943238343866098e-05,0.01447915047598404,0.02272952380939387,157.1046886772456,157.1046886772456,7.828175642030122,7.828175642030122,0.9961904761904762,525,52,1.0,30,30
21,52,0,,1.2023619270794803e-05,0.01420953028558177,0.0230323809523335,156.34533445519534,156.3454382148843,7.84501709441713,7.845024257880501,0.9961904761904762,525,52,1.0,30,30
22,52,0,,1.2342557313279711e-05,0.014204271755587595,0.02322328244254303,157.30259121647367,157.30259121647367,7.83178795299394,7.83178795299394,0.9980916030534351,524,52,1.0,30,30
23,52,0,,1.2614370368862906e-05,0.014966597244398775,0.023525590551354808,160.94944299257145,160.94965965588113,7.8772032176489395,7.877212957211985,0.9901574803149606,508,52,1.0,30,30
24,52,0,,1.2353065222282306e-05,0.014367805555754098,0.023067049808396335,156.01843722013643,156.0184956862035,7.857712011737645,7.85771445626261,0.9923371647509579,522,52,1.0,30,30
25,52,0,,1.1840934765081261e-05,0.013992033457757784,0.022340186915923974,152.8255924833067,152.8255924833067,7.827431616387652,7.827431616387652,1.0,535,52,1.0,30,30
26,52,0,,1.1674193694102499e-05,0.014118351992314674,0.02237381404193416,153.32659824963864,153.32659824963864,7.819245971912006,7.819245971912006,1.0,527,52,1.0,30,30
27,52,0,,1.2422495428956905e-05,0.014271463137940858,0.02301701323274701,154.32541905176387,154.32541905176387,7.853207155852389,7.853207155852389,1.0,529,52,1.0,30,30
28,52,0,,1.3411753045430266e-05,0.0150115235057992,0.023565737051738332,161.19080471231743,161.19088747544717,7.8443076256257465,7.844310915519169,0.9940239043824701,502,52,1.0,30,30
29,52,0,,1.1494475163641158e-05,0.01345810147337757,0.021977900552796414,151.4268574570432,151.4268574570432,7.86626736843336,7.86626736843336,1.0,543,52,1.0,30,30
30,52,0,,1.2429903071482204e-05,0.01441529533951272,0.023174757281831437,157.09410667554232,157.0941806337274,7.845237578271882,7.845241276181136,0.9980582524271845,515,52,1.0,30,30
