solver,seed,max_spawn,seed_failed,fail_reason,enforce_ir,platoon_bonus,comm_delay,p_loss,async_frac,drag_reduce_pct,cd_rate_window,drag_force_window,ttc_p5,abs_acc_mean,abs_acc_rms,n_window_samples,clearing_time,merged,n_steps,avg_speed,min_speed,solve_time,total_utility,ir_violation_rate,platoon_len_avg,platoon_len_max,conv_iters,conv_fail_rate,success_rate,n_success,n_trials,weight_name,weight_idx,scale,weight_value
auc,1,20,0,,True,0.5,0,0.0,1.0,9.622110282794438,0.9037788971720556,178.73933314374347,8.099719214465772,0.19548302042891505,0.2546386299623866,135,19.700000000000003,20.0,289,20.07912968288069,18.762781876205654,7.135294118789782e-06,7.72495357517878,0.0,3.4104938271604945,4.496296296296296,nan,nan,1.0,30,30,acc,0,0.5,0.1
auc,2,20,0,,True,0.5,0,0.0,1.0,9.755009016897976,0.9024499098310202,172.39464675091492,7.032221319605027,0.24086845614933589,0.3624051358003253,157,20.6,20.0,307,19.457992966328906,17.65765876147466,7.1042344323549035e-06,7.7162630586456125,0.0,4.334394904458598,4.713375796178344,nan,nan,1.0,30,30,acc,0,0.5,0.1
auc,3,20,0,,True,0.5,0,0.0,1.0,9.534674866157832,0.9046532513384217,164.29048730236968,10.0,0.12317126179306415,0.2060838055318486,165,21.700000000000003,20.0,318,19.642351978679894,18.637170412725062,6.675157392065849e-06,7.780549801287474,0.0,2.301010101010101,2.6424242424242426,nan,nan,1.0,30,30,acc,0,0.5,0.1
auc,4,20,0,,True,0.5,0,0.0,1.0,8.000213096504162,0.9199978690349584,171.90349899580877,6.902567242801507,0.2990990870628806,0.4498233216878886,181,22.400000000000002,20.0,336,18.435480760886325,15.188283088123805,7.037500024255548e-06,7.661352010863068,0.0,2.6906077348066297,3.044198895027624,nan,nan,1.0,30,30,acc,0,0.5,0.1
auc,5,20,0,,True,0.5,0,0.0,1.0,9.330914985037086,0.9066908501496291,165.89846549319282,9.906194660774323,0.15300825556299585,0.2505752973542744,152,20.3,20.0,303,19.511470062506632,18.335941961600955,6.812541235949869e-06,7.752347717363366,0.0,2.5625,3.0921052631578947,nan,nan,1.0,30,30,acc,0,0.5,0.1
auc,6,20,0,,True,0.5,0,0.0,1.0,8.680749293415602,0.913192507065844,169.17127234248727,7.760637467097852,0.19085642967599295,0.3158304734919509,150,20.200000000000003,20.0,303,19.640379483074106,17.688428276548414,7.327722834858109e-06,7.697739638608252,0.0,2.5,3.2866666666666666,nan,nan,1.0,30,30,acc,0,0.5,0.1
auc,7,20,0,,True,0.5,0,0.0,1.0,8.647470199235574,0.9135252980076443,178.7395802827264,8.852980971051931,0.2385871044440525,0.2928460787386951,141,20.6,20.0,302,20.134135066263536,18.8661187606931,6.901655563566563e-06,7.737478407852067,0.0,3.0886524822695036,3.8156028368794326,nan,nan,1.0,30,30,acc,0,0.5,0.1
auc,8,20,0,,True,0.5,0,0.0,1.0,11.019941233775654,0.8898005876622435,176.14379276490766,8.272423797037394,0.20053266292935465,0.25900249065501113,142,20.6,20.0,300,20.147366564876304,18.91920143540845,7.142333367179769e-06,7.754914716848301,0.0,3.9765258215962445,5.21830985915493,nan,nan,1.0,30,30,acc,0,0.5,0.1
auc,9,20,0,,True,0.5,0,0.0,1.0,7.751691426429463,0.9224830857357054,171.9926692039344,6.9088101085744045,0.2149371512745917,0.3247712877112428,156,20.6,20.0,308,19.24100766596515,16.85582532737533,6.964285863172595e-06,7.713846206723557,0.0,2.3621794871794872,3.3141025641025643,nan,nan,1.0,30,30,acc,0,0.5,0.1
auc,10,20,0,,True,0.5,0,0.0,1.0,7.631449626713083,0.9236855037328692,173.44001291496693,8.409400233984575,0.22951945833506768,0.32240063410849096,152,19.900000000000002,20.0,300,19.658437163198222,18.041123438415067,7.086333195426657e-06,7.712056326664389,0.0,2.071271929824561,2.3947368421052633,nan,nan,1.0,30,30,acc,0,0.5,0.1
auc,11,20,0,,True,0.5,0,0.0,1.0,8.97758326235303,0.9102241673764697,172.08604681905288,9.138306904964224,0.18508339891525663,0.2716502209175906,156,21.400000000000002,20.0,310,19.41626104363911,17.453290232038835,6.930645090065926e-06,7.743502186676924,0.0,3.347222222222222,4.243589743589744,nan,nan,1.0,30,30,acc,0,0.5,0.1
auc,12,20,0,,True,0.5,0,0.0,1.0,12.304509424911458,0.8769549057508854,163.99323887268807,8.462217196816292,0.18967538423017546,0.259695280718645,159,21.400000000000002,20.0,314,19.630205209432273,18.08997616693447,6.864968185208494e-06,7.8311777856148,0.0,5.047169811320755,5.188679245283019,nan,nan,1.0,30,30,acc,0,0.5,0.1
auc,13,20,0,,True,0.5,0,0.0,1.0,7.412110671137939,0.9258788932886206,170.58381015760065,7.248691591380626,0.20033720643902933,0.3282051869945065,159,22.1,20.0,322,19.134091168602588,17.150097565985234,6.776087056384104e-06,7.635435460749764,0.0,2.615303983228512,3.9685534591194966,nan,nan,1.0,30,30,acc,0,0.5,0.1
auc,14,20,0,,True,0.5,0,0.0,1.0,10.021699060215461,0.8997830093978454,168.42845260373792,7.855434095890431,0.19637898451220043,0.2614228760222427,150,20.200000000000003,20.0,298,19.611454037280136,18.13427402534823,7.211744944305603e-06,7.740059900448295,0.0,2.8505555555555553,3.7,nan,nan,1.0,30,30,acc,0,0.5,0.1
auc,15,20,0,,True,0.5,0,0.0,1.0,10.950434017038791,0.8904956598296121,174.9120403083007,10.0,0.1919154241645314,0.2839484824370284,139,20.0,20.0,299,20.066298121259646,18.53892827046944,6.954180688288119e-06,7.810257632324173,0.0,4.396882494004796,4.971223021582734,nan,nan,1.0,30,30,acc,0,0.5,0.1
auc,16,20,0,,True,0.5,0,0.0,1.0,8.475166984979277,0.9152483301502072,181.52074893974967,8.424996367084816,0.25232462546601797,0.30820675249847634,145,19.1,20.0,291,19.9441598269579,18.553234586817357,7.09037807691263e-06,7.738592122132106,0.0,2.8436781609195405,3.910344827586207,nan,nan,1.0,30,30,acc,0,0.5,0.1
auc,17,20,0,,True,0.5,0,0.0,1.0,8.922313573330854,0.9107768642666915,177.75639989079852,8.401071207085055,0.21407838217751116,0.2755114108242429,145,19.3,20.0,294,20.06185679954746,19.031964298663596,7.089795915470902e-06,7.739299418207389,0.0,3.685057471264368,4.682758620689655,nan,nan,1.0,30,30,acc,0,0.5,0.1
auc,18,20,0,,True,0.5,0,0.0,1.0,10.625230464588565,0.8937476953541144,183.8430567776022,8.501690385129466,0.24887358690372016,0.3296552428058667,142,19.200000000000003,20.0,287,19.68964186970945,17.449441028335205,7.091986039979545e-06,7.775231512348992,0.0,6.97887323943662,8.246478873239436,nan,nan,1.0,30,30,acc,0,0.5,0.1
auc,19,20,0,,True,0.5,0,0.0,1.0,6.7122181593232355,0.9328778184067676,181.63191502532845,10.0,0.24630674156336088,0.32730048841736925,163,20.900000000000002,20.0,311,19.683289365421846,17.58358284732416,6.739871373918159e-06,7.70461746035158,0.0,2.7607361963190185,3.3435582822085887,nan,nan,1.0,30,30,acc,0,0.5,0.1
